day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
92,232.76498827389312,174.3291164306599,10.200829425463914,266.0,57.0,106.0,0.29612156637156084,0.07238057931979822,0.005140349424222873
93,232.2933739779964,175.68628089245328,12.030239177463438,240.0,73.0,104.0,0.2961690628355791,0.07274870831419947,0.006062216163988577
94,231.81505179519468,177.24746165284284,14.596217156474852,237.0,84.0,133.0,0.29620536269185527,0.07310546770321658,0.007355250570980441
95,231.43001945374613,178.64073975610918,17.099776822040795,276.0,65.0,97.0,0.29635846224174955,0.07338856340030947,0.008616831462949354
96,230.9838351777567,179.4205476948929,21.864111296060702,246.0,64.0,114.0,0.29643094016114113,0.0735253945496572,0.011017650352166264
97,230.47769074714668,180.68169197312682,25.35807984906483,254.0,58.0,103.0,0.296423817849077,0.0736841510394929,0.012778312989544967
98,229.9403228150829,182.18276379695396,28.82878679260788,236.0,70.0,110.0,0.2963736329993487,0.07380260236819508,0.01452725375649407
99,229.25590494556621,183.39893716979384,32.86157927739235,237.0,80.0,100.0,0.296130511148208,0.0739660677228384,0.01655943777433725
100,228.79012744336924,184.58298071648693,37.333110205752405,239.0,78.0,111.0,0.2961666051487858,0.07402096943590561,0.018812708608923832
101,228.43313505876915,186.42816781631257,41.631644691567985,233.0,48.0,100.0,0.29634123054952616,0.074812900174372,0.020978803967209796
102,228.0902660224885,188.0066966238723,45.391869283874286,236.0,72.0,88.0,0.29653223055933864,0.0752800625248541,0.02287363697654926
103,227.59601772837982,189.375091912811,49.97211942764006,249.0,92.0,88.0,0.29652409774215427,0.07544816283195782,0.0251816930381996
104,227.0997626691404,190.49917418831527,53.49079180179231,226.0,63.0,89.0,0.296510592909326,0.075563283665237,0.026954804297893067
105,226.3977514078605,191.30425831756094,57.28070807467563,232.0,69.0,96.0,0.29622510783223843,0.07552228460802135,0.02886459938598049
106,226.03697673507753,192.400788314181,61.25997245092546,239.0,59.0,103.0,0.2963831471551789,0.07565346854582436,0.03086980979506996
107,225.2141218946557,193.15674528520344,65.37044890885588,264.0,75.0,95.0,0.29593200396427327,0.07557907741257441,0.03294113992054584
108,224.3756668024809,193.73528840708772,68.87361450381692,227.0,40.0,73.0,0.2954557344878346,0.07560763634497081,0.03470643708393768
109,223.8225783377536,194.5069064611307,72.4503591655303,218.0,48.0,90.0,0.2953513575087052,0.075724577566559,0.03650881183167487
110,223.22605748239926,195.5600541826248,76.44360184385542,239.0,56.0,102.0,0.2951864669311318,0.07584448638710117,0.038521066114750216
111,222.45927677464127,196.77517019044143,80.38916105416575,233.0,61.0,95.0,0.29479263368760084,0.07596000437543135,0.040509291990219506
112,221.8702824329489,197.7157411925055,83.87541055616092,253.0,62.0,82.0,0.2946306186873289,0.07596872075056627,0.04226606488317111
113,221.39817866675708,198.7363351913085,88.92541605309,226.0,74.0,109.0,0.2946208729460792,0.07602094118128713,0.04481083764289023
114,220.695051905811,199.6600446801198,93.53014761779272,215.0,62.0,97.0,0.2943004256111894,0.07603383791637525,0.0471312302560864
115,220.0599104021391,200.53231174932066,98.05940094493597,218.0,84.0,85.0,0.29406691049209427,0.07600887532178136,0.049413588264565836
116,219.6491684062813,201.17656628387812,102.5486030466207,240.0,89.0,97.0,0.294130349126309,0.07587646155479025,0.051675763865797975
117,218.98485397876834,202.23386120776934,106.64854857846399,225.0,74.0,65.0,0.29385123752593106,0.07595612764874266,0.053741787301240074
118,218.40062267296975,203.38775349218542,111.75170526162725,207.0,43.0,78.0,0.2936761106136993,0.07635097279992831,0.056313343732968604
119,218.27731912116724,204.27747202294086,116.05922947677811,187.0,71.0,76.0,0.2941188090179538,0.07636308093763233,0.05848396914935916
120,217.44617804825938,204.7348636306075,120.70549053496141,240.0,72.0,65.0,0.29360507102773487,0.07622378128971391,0.06082528909101044
121,217.0911958938318,205.8428750132116,125.21991300413053,197.0,84.0,90.0,0.29373095979297126,0.07625329581234078,0.06310017360992659
122,216.604304312718,207.130237716284,128.89016759115148,226.0,69.0,75.0,0.29367602752096056,0.07651737730677657,0.06494966939759747
123,216.12520436945562,208.10338253019978,133.1585410827303,235.0,61.0,80.0,0.29362896966796115,0.07661192699192315,0.06710056618301327
124,215.81939362727843,209.1140935715711,137.73584345839456,221.0,72.0,80.0,0.29381515871314634,0.07666668356230642,0.0694071368205445
125,215.0963138227437,209.65112204105185,142.99097047071052,213.0,80.0,77.0,0.2934304152723104,0.07655803976234672,0.07205527335780926
126,214.37719840731233,210.6689419424893,147.84503752861661,210.0,78.0,93.0,0.29304706270457825,0.07660072367285561,0.07450130982852618
127,213.70904828650404,211.45226437920184,152.89890492991873,202.0,74.0,71.0,0.29272951396299324,0.07661026337040197,0.07704802865920601
128,213.1479623813772,212.29536291264282,157.79029648880163,231.0,53.0,71.0,0.292555193569372,0.07665507310084682,0.07951287350021355
129,212.99712398641867,213.12000803470232,161.1250211655389,197.0,72.0,72.0,0.292941974936348,0.07664650435828463,0.08119329078365697
130,212.7070826552146,213.82352208455043,164.55946902805232,198.0,72.0,62.0,0.293136080085532,0.07663318203321112,0.08292396006124778
131,212.34588296552727,214.17341084705433,168.74314427802975,218.0,81.0,61.0,0.29323030810628303,0.07645172785344656,0.08503217614499813
132,212.5568471548243,214.39175165315805,173.1225607644496,185.0,89.0,74.0,0.2941142267426684,0.07625474073736696,0.08723902914444198
133,211.76740531805595,215.2761625979985,178.5390244057138,223.0,73.0,77.0,0.2936122772986577,0.07635251803481372,0.08996846560479438
134,211.85256918420885,215.90522934292727,183.24622513728403,202.0,81.0,72.0,0.2943209951122289,0.0763480427958413,0.0923404939527861
135,211.83571767333717,216.43232552976093,187.2573977627016,208.0,50.0,71.0,0.29488817948705837,0.07633595144218089,0.09436178340245123
136,210.7186870707073,216.79327482134465,192.39348601613955,208.0,84.0,71.0,0.29392068979462466,0.07617146043201928,0.09694993454145695
137,210.96894563665688,217.13325779042157,197.28407766341573,178.0,61.0,70.0,0.2948579483519386,0.07604812049954013,0.0994143762951276
138,211.14569670219493,217.71769911389353,201.10591427272456,192.0,68.0,67.0,0.29569366391586815,0.07600223132416821,0.10134025651473935
139,211.2747448066527,218.02658499489675,205.57489932465182,185.0,86.0,63.0,0.29646343093048505,0.07593097324604901,0.1035922444443866
140,211.90331000224214,218.43957168300562,209.46807279238072,176.0,53.0,63.0,0.4771004698699607,0.06738428246914122,0.10555407236626951
141,211.6200414338635,218.7819329451551,213.5375381215573,211.0,72.0,87.0,0.47740830942616275,0.06726872528163437,0.10760473637497353
142,211.8267587687119,219.47733485095603,217.69327898003255,166.0,64.0,70.0,0.47882120849347587,0.06724528590492973,0.10969887590403551
143,212.28813978784163,219.8839077135401,222.84579340472894,179.0,64.0,77.0,0.480812752840578,0.0671703450939128,0.11229530443465802
144,212.7354714265235,220.12404043442223,226.83534604346488,163.0,85.0,88.0,0.4827765457661888,0.0670502793910186,0.11430569925198932
145,212.70916119560408,220.41644085167707,231.38801527876203,179.0,49.0,74.0,0.48366735755660223,0.06691725406601469,0.11659985688430091
146,212.78130853388558,220.5715486579819,234.88036414225178,205.0,47.0,84.0,0.484782259765263,0.06680139308285295,0.11835970333608183
147,212.74698502179558,221.22029340133173,238.44587845781103,188.0,69.0,81.0,0.4856547656321226,0.06678083642462279,0.12015641894562745
148,212.02056613181404,221.35633370929872,242.25552048051972,205.0,80.0,66.0,0.48494397825932756,0.06663880815082125,0.12207615413196848
149,211.77318667335044,221.3772878889887,245.69158810529132,201.0,83.0,90.0,0.48532453046029067,0.06646870885781454,0.12380763963181374
150,212.04415646615917,221.78961222754046,248.0657241310406,197.0,84.0,130.0,0.48689310710186495,0.06639566656751168,0.12500400202980885
151,211.96196021166423,222.10321992813357,249.91697917409124,162.0,87.0,110.0,0.487651600381796,0.06627186806374552,0.12593687693612582
152,211.56778666213734,222.11204059991132,251.6508907167808,209.0,78.0,132.0,0.48769022075448576,0.06605937843904966,0.1268106207101241
153,212.16046239008352,222.39741497710628,253.33984444345245,179.0,45.0,122.0,0.49000454773553637,0.06611639137591645,0.12766170957303202
154,211.62239981051954,222.83630880514923,254.9550238450541,236.0,62.0,112.0,0.4897075807137338,0.06625875441581361,0.12847562245802885
155,211.3913335545653,223.23275980559737,256.48615341283596,185.0,66.0,135.0,0.49011759374038727,0.06627870452186549,0.12924718138366983
156,211.79943734974634,223.082431664446,257.9149514960319,192.0,57.0,115.0,0.49201034267907906,0.06605259115563124,0.1299671739546615
157,211.85930288555298,223.31876982837537,259.23721124104424,195.0,76.0,113.0,0.4930962335630858,0.06593062457112968,0.13063348027500643
158,212.43071436778672,223.4413318792246,260.4949609396238,166.0,61.0,141.0,0.49537556215489753,0.06583844715274603,0.131267279025015
159,212.39178575408403,223.55232070137177,261.6984402287992,210.0,69.0,143.0,0.4962340028141873,0.06572328372854591,0.13187373010983897
160,213.62242535005032,224.10337780762978,262.8352324357594,162.0,70.0,131.0,0.5000640081046281,0.06575214142132968,0.13244657658366807
161,214.3289782669873,224.5383077068524,263.93084528840274,154.0,66.0,143.0,0.5026758567920557,0.06573939291383807,0.132998672169366
162,214.71583747404765,225.13595553077755,265.00872849856694,217.0,89.0,128.0,0.5045428080647989,0.06578339451348776,0.13354183352494325
163,215.45857724860468,225.62126324438833,266.06697726571565,193.0,57.0,141.0,0.5072510704690942,0.06587861905312989,0.13407510079312426
164,215.33786346512068,226.31764635989313,267.0751947882081,199.0,94.0,139.0,0.5079293050523438,0.06597106734178422,0.13458315657418632
165,215.15680146976922,226.7280832509032,268.05802460753716,196.0,62.0,133.0,0.5084638527983861,0.06594936335818109,0.13507841911463098
166,215.1247189410061,227.67568099942287,269.0029354507318,199.0,77.0,156.0,0.5093495284288764,0.06623872996410096,0.13555457371992535
167,214.94039216545212,228.07600097611967,269.88446393255424,191.0,77.0,120.0,0.5098737775859328,0.06621565181086095,0.13599878901213103
168,215.25858845317532,228.77771377221345,270.6652858108796,220.0,73.0,128.0,0.5115907005804556,0.0663058434940812,0.1363922567513965
169,215.52628416382183,229.19866451270207,271.40110968998187,219.0,73.0,143.0,0.513190229493784,0.0662808979226376,0.13676304933065786
170,215.80533385638813,229.65985591240536,272.1445723682921,189.0,77.0,127.0,0.5148192457352638,0.06641106326054114,0.13713769121427205
171,216.18819218352874,229.70303025594455,272.8547094276582,197.0,87.0,139.0,0.5166988720911572,0.06627510987313681,0.13749553982363313
172,215.88266416761724,229.72196991991103,273.48513120551576,246.0,90.0,144.0,0.5169335803803062,0.06613830547888203,0.13781321871891378
173,215.91189546156812,229.59756079826695,274.04814264978927,235.0,91.0,131.0,0.5179686474172908,0.06596502459885195,0.1380969285460949
174,216.61431619827147,229.44982776715236,274.53935012405145,245.0,103.0,124.0,0.5206219624246162,0.06579329250547346,0.13834445528653766
175,217.15250111768944,229.63495936193885,274.9717853579142,187.0,70.0,137.0,0.5228860985452362,0.06575487147744845,0.13856236582230752
176,217.44808288473925,229.93522342392367,275.37421561336066,244.0,89.0,119.0,0.5245698008699975,0.06573436045795142,0.13876515640389597
177,217.8015195004017,230.06431565724154,275.7312332570829,208.0,80.0,151.0,0.5263959814219848,0.06567263483480412,0.13894506289608413
178,217.40932182826825,229.94475478535165,276.03834076127464,236.0,98.0,135.0,0.5264199030094545,0.06552087903492876,0.1390998189278246
179,218.0817233210717,230.36370090307935,276.3422532840924,180.0,89.0,140.0,0.5290228326131619,0.06554446937474959,0.1392529649610071
180,218.51101931359062,230.37632782704932,276.6346102137468,237.0,75.0,161.0,0.5310409699721865,0.06543601823154357,0.13940028795920018
181,219.12746637600486,230.26010556043997,276.9180395580149,220.0,89.0,139.0,0.5335186183672368,0.06529940729737535,0.13954311221454752
182,219.31373818212865,230.54297855259165,277.19489504191984,224.0,82.0,123.0,0.5349524983973034,0.06530448561119184,0.13968262380403954
183,219.28576468231122,230.4339767720947,277.429094435942,242.0,90.0,113.0,0.5358645052580188,0.06517900896057555,0.13980064035642006
184,220.28469889989293,230.3285601504375,277.64968714616884,165.0,92.0,135.0,0.5392902963454329,0.06505959916582117,0.13991180029878436
185,220.94504489436196,230.22438454501685,277.85806428082293,216.0,88.0,146.0,0.5418945983020534,0.06494679368203168,0.1400168046312229
186,221.37271529933358,230.12510894361458,278.0559770009793,224.0,92.0,128.0,0.5439331075812416,0.06483561496152554,0.1401165357898052
187,221.14033598753497,230.0234626706913,278.24905402517004,237.0,88.0,155.0,0.5443506958623443,0.06472409687039986,0.140213830169383
188,220.89202240362113,229.9226541187659,278.4374022254862,244.0,89.0,146.0,0.5447269209023848,0.0646130959662982,0.14030874162439
189,221.08785885363747,230.03227498802306,278.6211260128061,247.0,78.0,134.0,0.5461982086141578,0.06455908858836792,0.14040132276901812
190,221.63393007868098,229.9348981355256,278.7922834728513,182.0,86.0,135.0,0.5485380778248885,0.06444967784787939,0.14048757155472946
191,221.93221431714545,229.8436514693234,278.9386771676641,226.0,93.0,123.0,0.5502684643184697,0.06434228699545372,0.14056134151141186
192,222.99096358158795,229.7533765257185,279.086567012512,186.0,88.0,136.0,0.5538904566116309,0.06423710696397011,0.14063586540031392
193,223.36907516091196,229.66063361226378,279.2182003398543,243.0,101.0,131.0,0.5558282355891554,0.0641348313212149,0.14070219738864456
194,223.86674598409326,229.56827956313677,279.3528794136664,190.0,74.0,116.0,0.5580674481382712,0.06403703446300758,0.14077006417384896
195,223.49660592590584,229.47682398290223,279.4636931461506,225.0,82.0,160.0,0.5581439126111685,0.06394323014213499,0.14082590485917096
196,223.0696425575093,229.38624416821176,279.57300385535586,224.0,89.0,105.0,0.5580749160888823,0.06385296796533314,0.14088098814874372
197,223.83306469664944,229.2965164568456,279.67957933531244,225.0,91.0,133.0,0.5609855353308689,0.06376834077377505,0.14093469311568135
198,224.2197436361643,229.21303599174598,279.7776098226044,216.0,84.0,148.0,0.5629570860423976,0.06368559666104848,0.14098409213392687
199,224.29269151810524,229.12525979314887,279.86081521656536,244.0,99.0,142.0,0.5641430040076699,0.06360727407078651,0.14102602056749833
200,224.36949231972034,229.03798645614597,279.9469621920811,214.0,83.0,143.0,0.565339291312779,0.06353472879317149,0.1410694313076961
201,224.7814197586673,228.95727751572036,280.01759721918495,243.0,79.0,144.0,0.5673821844400097,0.06346777757471674,0.14110502534674518
202,224.64855393256374,228.8749902194106,280.08391753836605,214.0,86.0,123.0,0.5680511938560704,0.06340546994956292,0.141138445140401
203,224.1005600664735,228.79529024111685,280.1439924465309,258.0,85.0,145.0,0.5676674664049499,0.06334896553033585,0.14116871777870474
204,224.27902966660568,228.71642177590257,280.19508197997743,237.0,107.0,138.0,0.569122294991926,0.0632928884435599,0.14119446255326007
205,223.91277236354438,228.63806390749636,280.2414896945081,255.0,98.0,121.0,0.569194013767258,0.06323706420649271,0.14121784808974125
206,223.33732044594993,228.56496109128648,280.2827596203201,260.0,90.0,161.0,0.5687297510947242,0.06318281638524531,0.14123864461819374
207,223.20052729298857,228.4896326900846,280.3196505034082,237.0,94.0,130.0,0.5693793598561937,0.06312810983097268,0.14125723448199123
208,222.70600271530014,228.41846607518647,280.3555682818227,258.0,92.0,139.0,0.569113590256631,0.06307610317472936,0.14127533398389358
209,222.5482366852466,228.5966126904205,280.3914753164589,213.0,80.0,141.0,0.5697054819741015,0.0631052287393177,0.14129342807184658
210,222.4853462671996,228.52260906944167,280.42207024034553,232.0,93.0,140.0,0.5705392698599103,0.06306035775922329,0.14130884530831095
211,222.00682346007787,228.44842359168376,280.451842772254,244.0,101.0,121.0,0.5703048021407371,0.06301608446091715,0.1413238481292454
212,221.8922574074092,228.3746058027365,280.4808100192449,256.0,87.0,130.0,0.5710026459411326,0.06297199013665891,0.14133844515515187
213,222.19127496471344,228.30113299389046,280.50898866865896,217.0,107.0,107.0,0.5727656116521174,0.0629280663292821,0.14135264479502913
214,222.19059484989452,228.228000197195,280.53639499698613,207.0,85.0,125.0,0.5737573582634421,0.06288548753704866,0.14136645525084215
215,222.3629820259813,228.15520000991842,280.5630448785005,204.0,88.0,149.0,0.5751967889595814,0.06284416678626803,0.1413798845218734
216,222.8285228361245,228.0864943066116,280.58895379366504,191.0,85.0,138.0,0.5773973952901802,0.06280401932212376,0.141392940408958
217,222.38057832908248,228.0146147973894,280.6141368373116,233.0,92.0,143.0,0.5772310490995062,0.06276308546914165,0.14140563051860594
218,222.09020969672343,227.94283949634365,280.63753247271757,230.0,95.0,136.0,0.5774704285222001,0.06272419660653265,0.14141741992669937
219,222.15176041383353,227.87711982761516,280.6526402144208,225.0,86.0,137.0,0.5786238408045712,0.06268798348187096,0.14142503294208536
220,221.57657569181995,227.81101791579147,280.6531751942317,267.0,93.0,113.0,0.7956887047307895,0.07048556505341433,0.15557567246814885
221,220.78156406106348,227.73292066490407,280.667229900356,248.0,85.0,156.0,0.7941939386670512,0.07044107169547822,0.15558346347338198
222,221.45542761289755,227.6709342760582,280.6808620400916,214.0,106.0,138.0,0.7979822708117925,0.07040152587095017,0.15559102023558527
223,220.64600411786233,227.5934343666613,280.6940805017025,232.0,108.0,122.0,0.7964249763928144,0.07035734288492983,0.1555983476818281
224,220.20701660376974,227.52000840645854,280.70689394824063,210.0,98.0,130.0,0.7961971015684782,0.07031445680766714,0.15560545061433698
225,220.51523025782433,227.44269653677782,280.72570727647127,201.0,112.0,145.0,0.7986700746608802,0.07027045404779789,0.15561587948687267
226,220.92444514138992,227.37761961998663,280.7370350188694,185.0,95.0,143.0,0.8015132943939661,0.07023021867376072,0.15562215884266448
227,220.754345561772,227.3008788932799,280.7445219208314,238.0,95.0,134.0,0.8022562526906079,0.07018650624489241,0.1556263090889841
